# ╔══════════════════════════════════════════════════════╗
# ║     Enterprise Honeypot Threat Intelligence Feed      ║
# ║     by Loki | T-Pot v24.04.1 | AWS eu-central-1      ║
# ╚══════════════════════════════════════════════════════╝
#
# Updated: 2026-03-16 15:26:54 UTC
# Total IPs: 1000
# Criteria: HIGH and CRITICAL threat score from live honeypot
# Sources: VirusTotal + AbuseIPDB correlation
# Format: IP | Threat Level | Score | ISP | Country
#
# Usage:
#   iptables: iptables -A INPUT -s <IP> -j DROP
#   firewall: Add to blocklist/blackhole route
#

# ── CRITICAL THREATS ─────────────────────────────────
185.93.89.95         # CRITICAL | Score: 94 | Limited Network LTD | IR
81.168.83.103        # CRITICAL | Score: 94 | Sapphire Web Services Limited | GB
45.156.129.75        # CRITICAL | Score: 94 | INAP-CHI-1 | PT
185.224.128.251      # CRITICAL | Score: 94 | Alsycon B.V. | NL
185.93.89.95         # CRITICAL | Score: 94 | Limited Network LTD | IR
81.168.83.103        # CRITICAL | Score: 94 | Sapphire Web Services Limited | GB
45.156.129.75        # CRITICAL | Score: 94 | INAP-CHI-1 | PT
80.94.95.116         # CRITICAL | Score: 94 | UNMANAGED LTD | RO
66.240.236.116       # CRITICAL | Score: 94 | CariNet, Inc. | US
74.82.47.5           # CRITICAL | Score: 94 | The Shadowserver Foundation, I | US
45.156.129.77        # CRITICAL | Score: 94 | INAP-CHI-1 | PT
45.205.1.8           # CRITICAL | Score: 94 | VPSVAULT.HOST LTD | US
185.226.197.32       # CRITICAL | Score: 94 | ICG-4-ZEN-AMS | PT
185.226.197.33       # CRITICAL | Score: 94 | ICG-4-ZEN-AMS | PT
199.195.248.205      # CRITICAL | Score: 94 | FranTech Solutions | US
45.135.194.48        # CRITICAL | Score: 94 | Pfcloud UG | DE
45.156.129.95        # CRITICAL | Score: 94 | INAP-CHI-1 | PT
93.174.93.12         # CRITICAL | Score: 94 | FiberXpress BV | NL
5.61.209.96          # CRITICAL | Score: 94 | Amarutu Technology Ltd | SC
82.165.66.87         # CRITICAL | Score: 94 | IONOS SE | DE
